card,reports,age,income,share,expenditure,owner,selfemp,dependents,months,majorcards,active,client_name,sex
yes,0,33,3.25,0.02,56.15,no,no,2,144,0,2,Olivia Martin,Female
yes,0,37,2.72,0.06,129.37,no,no,2,13,1,14,Sean White,Male
yes,0,26,2.2,0.05,93.11,no,no,0,144,1,10,Jeffrey Nelson,Male
no,1,24,4.1,0.0,0.0,no,no,1,5,0,4,Alicia Cooper,Female
yes,0,24,3.75,0.09,292.66,no,no,0,18,1,11,Matthew Rios,Male
yes,0,25,2.88,0.04,98.46,no,no,0,7,1,0,Bradley Pearson,Male
yes,0,0,3.05,0.1,258.55,no,no,1,94,1,5,Sean Morgan Jr.,Male
yes,0,32,2.55,0.05,101.68,no,no,2,6,1,18,Paul Reilly,Male
no,0,32,4.0,0.0,0.0,no,no,2,25,1,0,Adam Wilson,Male
yes,1,54,2.64,0.03,65.25,yes,no,1,78,1,19,Xavier Sanchez,Male
yes,0,19,1.65,0.08,108.61,no,no,0,37,1,8,Stephanie Cochran,Female
yes,0,29,2.4,0.02,49.56,no,no,0,30,1,4,Peter Brown,Male
no,3,40,3.71,0.0,0.0,no,no,2,15,1,11,Karen Le,Female
yes,0,40,7.24,0.04,235.57,yes,no,2,177,1,13,Tricia Robinson,Female
no,0,41,4.39,0.0,0.0,yes,no,3,172,1,9,Kevin Pierce,Male
no,0,34,3.3,0.0,0.0,yes,no,2,33,0,18,Mark Ramirez,Male
no,0,23,2.3,0.0,0.0,no,no,1,12,1,0,Gregory Reilly,Male
no,1,53,4.18,0.0,0.0,no,no,1,288,1,2,Sharon Fuller,Female
no,2,34,2.49,0.0,0.0,no,no,1,87,1,3,William Thompson,Male
no,0,44,2.81,0.0,0.0,yes,no,5,4,1,0,Ashley Young,Female
yes,0,43,2.4,0.03,68.38,no,no,0,12,1,0,Caitlin Mclaughlin,Female
no,4,35,1.5,0.0,0.0,no,no,1,7,1,9,Susan Williams,Female
no,2,35,8.4,0.0,0.0,no,no,2,69,1,12,Michael Romero,Male
yes,0,21,1.56,0.0,0.0,no,no,0,12,1,2,Reginald Gross,Male
yes,1,32,6.0,0.09,474.15,yes,no,0,48,1,6,Robert Keller,Male
yes,1,25,3.6,0.08,234.05,no,no,2,12,1,4,Anthony Brown,Male
yes,0,26,5.0,0.11,451.2,yes,no,0,5,1,16,Gary Williams,Male
yes,0,46,5.5,0.05,251.52,yes,no,2,161,1,7,Alexander Robinson,Male
yes,1,35,10.0,0.11,917.54,yes,no,0,72,1,29,Robert Graves,Male
no,0,35,4.55,0.0,0.0,yes,no,3,36,1,15,Joshua Lee,Male
no,0,20,2.9,0.0,0.0,no,no,0,36,1,3,Valerie Franco,Female
yes,0,25,1.8,0.1,147.72,no,no,0,1,0,9,James Huff,Male
yes,0,31,4.2,0.05,166.73,yes,no,0,53,1,0,Jody Spence,Female
yes,0,23,3.92,0.23,741.5,no,no,0,16,1,0,Allen Smith,Male
yes,0,23,3.62,0.04,106.17,no,no,1,51,0,6,Rebecca Hamilton,Female
yes,0,24,2.48,0.13,271.47,no,no,0,18,1,0,Jose Brown,Male
yes,0,40,10.0,0.08,635.05,yes,no,3,120,1,17,Walter Joseph,Male
yes,0,43,10.04,0.02,182.82,yes,no,1,12,1,18,Jessica Kirby,Female
yes,0,23,2.95,0.04,89.37,yes,no,0,12,1,17,Anna Yu,Female
yes,0,41,5.0,0.24,1011.33,no,no,1,36,1,5,Victor Luna,Male
yes,0,28,2.4,0.11,227.37,no,no,0,1,1,29,Chloe Walker,Female
yes,0,45,13.5,0.01,115.42,yes,no,2,126,1,9,Alexander Owens,Male
no,3,25,4.0,0.0,0.0,no,no,0,36,0,5,Lawrence Williams,Male
yes,1,37,3.9,0.09,297.97,no,no,0,51,1,4,Evan Guzman,Male
yes,1,37,2.0,0.06,101.26,yes,no,3,42,1,3,Michael Jensen,Male
yes,0,30,2.15,0.03,56.69,no,no,0,12,1,4,Heather Weiss,Female
yes,0,21,3.0,0.03,77.36,no,no,2,18,0,2,Michele Garcia,Female
yes,0,40,4.3,0.03,122.52,no,no,0,108,1,4,Richard Newton,Male
no,4,23,10.0,0.0,0.0,no,no,2,27,1,5,Andrew White DVM,Male
yes,0,21,2.5,0.01,13.4,no,no,0,32,1,3,David Henry,Male
yes,0,22,3.0,0.05,127.53,no,no,0,120,1,11,Jeffrey Hopkins,Male
yes,0,40,2.6,0.0,8.33,yes,no,0,52,1,3,Rodney King,Male
yes,1,18,1.66,0.06,78.43,yes,no,0,51,1,2,Elizabeth Daniels,Female
yes,0,34,4.5,0.0,11.17,yes,yes,4,30,1,6,Patricia Lyons,Not Declared
yes,0,25,5.0,0.03,131.88,no,no,0,38,1,16,Jonathan Morris,Male
yes,0,20,1.74,0.19,277.99,no,no,0,8,1,11,Thomas Davis,Male
yes,0,24,1.88,0.08,126.02,no,no,1,14,0,1,Joseph Jennings,Male
yes,0,41,3.0,0.1,238.86,yes,no,3,120,0,0,Sara Collins,Female
no,5,31,4.2,0.0,0.0,no,no,3,52,0,19,Mark Thomas,Male
no,0,53,4.9,0.0,0.0,yes,yes,0,108,0,1,Samuel Davis,Male
yes,0,24,2.13,0.02,37.08,no,no,1,13,1,4,Kevin Gillespie,Male
no,1,25,1.7,0.0,0.0,no,no,2,8,0,11,Jennifer Jarvis,Female
yes,0,21,1.68,0.11,156.58,no,no,0,18,0,2,Brian Gonzalez,Male
no,0,20,2.64,0.0,0.0,no,no,3,7,1,1,Christopher Austin,Male
yes,0,18,1.97,0.01,9.75,no,no,0,114,0,2,Sarah Hunt,Not Declared
yes,0,22,3.3,0.04,108.4,no,no,0,6,1,8,Kelly Nelson,Female
yes,0,21,1.59,0.21,271.55,no,no,0,180,1,16,Brandon Graham,Male
yes,0,42,3.6,0.02,53.3,no,yes,0,41,0,14,Charles George,Not Declared
yes,0,36,3.0,0.11,282.56,no,no,2,16,1,6,Steven Griffin,Male
yes,0,41,3.8,0.08,263.33,no,no,0,67,1,4,Adam Robinson,Male
yes,0,26,3.36,0.0,6.52,no,no,0,12,1,4,Kimberly Stone,Female
no,2,33,2.32,0.0,0.0,no,no,0,62,0,3,Joseph Lamb,Male
yes,0,43,7.8,0.01,43.04,yes,no,0,60,0,2,Gerald Rasmussen,Male
yes,0,30,2.5,0.04,73.8,yes,yes,3,30,1,9,Michael Barajas,Male
yes,0,25,1.5,0.01,15.42,no,no,1,12,1,7,Kevin King,Male
yes,0,35,3.58,0.1,313.35,yes,no,1,84,1,10,Jamie Austin,Female
yes,1,44,4.0,0.02,59.19,yes,no,0,36,1,13,Jeffrey Mathis,Male
yes,3,43,6.72,0.03,176.0,yes,no,3,30,1,27,Marcus Acosta,Male
yes,2,50,4.3,0.04,129.39,yes,yes,1,264,1,15,Benjamin Miller,Male
yes,0,31,3.5,0.01,30.37,yes,no,1,36,1,5,Brandon Fuentes,Male
no,1,43,3.95,0.0,0.0,yes,no,2,27,1,4,Melissa Henderson,Not Declared
no,5,27,4.0,0.0,0.0,yes,no,0,37,1,7,Mr. Franklin Jones,Male
yes,0,24,2.4,0.23,461.26,no,no,1,164,0,1,Collin Wagner,Male
yes,0,49,2.7,0.09,199.73,yes,no,0,120,0,3,Austin Marshall,Male
yes,0,28,6.6,0.01,38.71,no,no,2,55,1,7,Cynthia Roberts,Female
yes,0,26,2.7,0.04,92.26,no,no,0,18,1,0,Cody Williams,Male
yes,0,29,4.1,0.04,145.38,no,no,0,13,1,0,Jordan Pena,Male
yes,0,71,7.7,0.06,400.91,yes,no,1,24,1,9,Bryce Serrano,Male
yes,0,24,2.8,0.06,138.71,no,no,0,5,1,0,Lisa Ellis,Female
yes,0,25,3.12,0.04,110.3,no,no,2,3,1,6,Claudia Garrison,Female
yes,0,24,2.3,0.03,54.65,no,no,0,30,1,2,Andrea Johnson,Female
yes,0,30,3.67,0.0,4.58,yes,no,0,57,1,3,Brady Walters,Male
no,0,32,6.5,0.0,0.0,yes,no,0,50,1,6,Larry Leach,Male
yes,0,23,2.56,0.15,320.52,no,no,1,11,1,2,Richard Boyd,Male
yes,0,48,3.5,0.07,197.92,yes,no,0,48,1,9,Peter Bowers,Male
yes,0,25,3.24,0.03,68.87,no,no,0,30,1,19,Pedro Bolton,Male
yes,0,25,3.48,0.05,148.26,yes,no,0,14,1,5,Dylan Carroll,Male
yes,0,24,2.94,0.03,68.53,no,no,0,14,1,0,Derrick Davis,Male
no,1,29,2.48,0.0,0.0,no,no,1,12,0,5,John Miller,Male
no,5,28,3.12,0.0,0.0,no,no,0,13,0,7,Kevin Thompson,Male
no,0,32,2.5,0.0,0.0,no,no,1,60,1,0,Kendra Graham,Female
yes,0,26,3.0,0.05,121.56,yes,no,0,12,1,4,Breanna Parker,Female
yes,0,34,6.0,0.02,86.23,yes,no,1,48,1,5,Gabrielle Monroe,Female
yes,0,28,2.6,0.05,105.1,yes,no,0,27,1,6,Christian Everett,Male
yes,0,23,3.9,0.02,58.99,no,no,1,14,1,7,George Gomez,Male
no,1,30,2.5,0.0,0.0,no,no,0,18,1,6,Jason Contreras,Male
no,1,34,3.3,0.0,0.0,no,no,3,48,0,3,Mathew Armstrong,Male
yes,0,31,5.9,0.03,123.89,no,no,1,12,1,2,Emily Golden,Female
yes,1,36,7.8,0.01,78.54,yes,no,1,24,1,18,Kathryn Clark,Not Declared
no,3,32,2.06,0.0,0.0,no,no,0,48,1,8,Robert Terrell,Male
yes,0,31,5.7,0.01,38.06,yes,yes,2,84,0,26,Amanda Burgess,Female
yes,0,28,2.16,0.03,46.14,no,no,2,7,1,0,Gabrielle White,Female
no,3,41,4.6,0.0,0.0,no,no,0,57,1,3,Valerie Carpenter,Female
yes,0,21,3.5,0.09,265.01,no,no,2,42,1,9,Clifford Woods,Male
yes,0,30,2.55,0.04,74.73,yes,no,1,11,1,0,Michael Hardy,Male
yes,0,43,1.75,0.07,107.76,yes,no,0,18,0,2,Veronica Jennings,Female
yes,0,29,1.95,0.0,6.5,yes,no,2,96,1,2,John Curry,Male
yes,0,33,5.0,0.05,209.06,yes,no,3,10,1,10,Deborah Castaneda,Not Declared
yes,0,24,2.89,0.08,193.07,no,no,0,12,0,0,Ann Hamilton,Not Declared
yes,0,25,2.7,0.06,144.38,yes,no,1,17,1,8,Steven Wong,Male
yes,0,24,4.0,0.11,358.97,no,no,0,7,1,10,Gina Harris,Female
yes,0,24,2.3,0.03,59.15,no,no,0,12,1,0,Alyssa Holland,Female
yes,0,32,2.4,0.0,0.0,no,no,1,11,1,8,Kevin Kramer,Male
no,0,46,2.6,0.0,0.0,no,no,0,61,1,8,Michelle Hoffman,Female
yes,0,21,2.4,0.23,465.2,yes,no,1,168,1,4,Michael Pierce,Male
yes,0,36,2.52,0.07,142.24,no,no,2,53,0,3,Donna Ross,Female
yes,0,23,1.56,0.39,501.8,no,no,0,33,0,1,Angelica Ortega,Female
yes,0,49,2.4,0.04,88.59,no,yes,0,14,1,6,Eric Ibarra,Male
yes,0,26,2.0,0.17,282.88,no,no,0,2,1,2,Jeffrey Callahan,Male
yes,1,29,2.58,0.17,361.16,no,no,0,6,1,12,Bonnie Fisher,Female
yes,0,33,3.15,0.06,150.18,no,yes,0,128,0,3,Charles Roth,Male
yes,0,29,2.3,0.04,76.24,no,no,2,24,0,5,Ashley Holmes,Female
yes,0,47,4.65,0.02,58.25,no,no,2,25,1,11,Christian Robles,Male
yes,0,21,3.12,0.03,88.23,no,no,0,56,1,3,Alison Elliott,Female
yes,0,30,2.0,0.0,7.08,yes,no,3,45,1,14,Erin Hunter,Female
no,6,62,2.55,0.0,0.0,no,no,2,20,0,13,Heather Thompson,Not Declared
yes,1,21,2.46,0.14,289.04,no,no,1,4,1,11,Thomas Brown,Male
yes,0,30,3.8,0.03,102.98,no,no,0,26,0,1,Tonya Williams,Female
yes,0,47,2.64,0.01,13.92,yes,no,0,4,1,12,Kayla Nicholson,Female
yes,1,39,7.0,0.11,641.42,yes,no,2,30,0,22,Michael Johnson,Male
no,0,53,2.8,0.0,0.0,no,no,1,156,0,11,James Williams,Male
no,0,22,3.15,0.0,0.0,no,no,2,19,0,0,Daniel Rogers,Male
no,1,24,6.0,0.0,0.0,no,no,2,17,1,2,Daniel Lamb,Male
yes,0,25,3.25,0.03,84.28,no,no,0,6,1,17,David Garcia,Male
yes,0,61,4.32,0.04,132.85,yes,no,1,252,0,0,Christopher Hoffman,Male
yes,0,29,2.5,0.08,159.6,no,no,0,7,1,21,Patrick Cook,Male
yes,0,35,3.0,0.05,135.04,no,no,1,6,1,8,Noah Brown,Male
yes,0,26,3.5,0.09,250.52,no,no,0,52,1,2,Jennifer Holden,Female
yes,0,42,4.56,0.05,188.62,no,no,0,144,1,11,Shaun Roberts,Male
yes,0,27,2.76,0.01,23.25,no,no,0,30,1,1,Sean Mason,Not Declared
yes,0,22,2.54,0.1,214.06,yes,no,2,23,1,9,Andrea Butler,Female
no,7,40,3.24,0.0,0.0,no,no,0,50,1,16,Paul Andersen,Male
no,2,35,3.84,0.0,0.0,no,no,0,38,0,2,Crystal James,Female
yes,0,32,1.32,0.04,42.63,no,no,1,6,1,2,Patrick Osborne,Male
no,0,25,3.9,0.0,0.0,no,no,0,18,1,3,William Martin,Male
no,0,56,2.04,0.0,0.0,yes,no,0,35,1,11,Melissa Jensen,Female
yes,1,30,7.29,0.08,474.5,yes,no,4,43,1,14,Gregory Sanford,Male
yes,0,25,7.5,0.05,304.38,yes,no,0,300,1,8,James Simpson,Male
yes,0,34,3.26,0.03,78.75,no,no,1,31,1,6,Benjamin Spence,Male
yes,0,24,1.63,0.18,238.33,no,no,1,4,1,5,Rebecca Scott,Female
yes,0,40,8.0,0.05,311.14,yes,no,2,38,1,0,Timothy Ingram,Male
yes,0,31,2.2,0.04,77.05,yes,no,2,17,1,16,Johnny Moore,Male
yes,0,27,5.0,0.03,120.4,yes,no,1,24,1,0,Troy Taylor,Male
yes,0,30,3.0,0.06,156.57,yes,no,2,72,1,8,Brian Patrick,Male
yes,0,46,2.0,0.01,10.58,yes,no,0,76,1,1,Ashley Brown,Female
yes,0,20,1.54,0.09,114.82,no,no,0,6,1,2,Christopher Merritt,Male
no,0,28,1.5,0.0,0.0,no,no,1,5,0,0,Brooke Brown,Female
yes,0,51,3.0,0.07,179.77,yes,no,0,121,1,0,Joseph Jones,Male
yes,1,41,5.0,0.15,625.37,yes,no,3,84,1,7,Carlos Romero,Male
yes,0,51,4.72,0.02,84.9,yes,no,1,60,0,0,Jordan Bush,Male
yes,0,53,1.5,0.0,0.0,yes,no,0,57,0,6,Mary Taylor,Female
yes,0,26,2.3,0.04,67.67,no,no,0,24,1,0,Richard Carpenter,Male
yes,0,20,1.6,0.08,111.69,no,no,0,3,1,0,Scott Kim,Male
yes,0,27,2.2,0.14,257.3,no,no,0,3,0,1,Jennifer Mendez,Female
yes,0,23,4.32,0.19,675.77,no,no,2,36,1,11,Richard Brown,Male
no,0,23,2.6,0.0,0.0,no,yes,0,37,1,7,Brandon Lynch,Male
yes,0,20,1.68,0.18,245.33,no,no,0,10,1,0,Loretta Wilson,Female
yes,0,83,2.87,0.01,13.33,yes,yes,0,38,0,11,Mindy Chavez,Female
yes,0,24,2.6,0.07,149.54,no,yes,0,21,1,2,Kevin Watson,Male
yes,0,33,2.9,0.1,253.37,yes,no,2,14,1,20,Derrick Williams,Male
yes,0,25,2.65,0.01,20.48,no,no,0,12,1,9,Johnny Gonzalez,Male
yes,0,26,1.9,0.03,41.82,no,no,0,18,1,9,Michael Phillips,Male
yes,0,65,2.95,0.05,118.71,yes,no,1,230,1,19,Robert Anderson,Male
yes,0,21,3.12,0.09,225.46,no,no,1,10,0,6,Colleen Brown,Female
yes,0,35,4.11,0.03,101.2,yes,no,1,37,1,23,Theresa Vargas,Female
no,1,46,6.0,0.0,0.0,yes,no,2,84,1,46,Adam Johnson,Male
yes,0,25,2.0,0.01,10.42,no,no,0,24,1,19,Joy White,Female
no,2,35,3.38,0.0,0.0,yes,no,2,18,1,15,Brandon Moran,Male
yes,0,33,3.5,0.0,7.17,no,no,0,12,1,0,James Gonzales,Male
yes,0,30,2.6,0.01,12.08,yes,no,4,51,1,16,James Woods,Male
no,11,26,3.5,0.0,0.0,no,no,0,14,0,27,Stephen Rodriguez,Male
yes,1,24,2.8,0.06,146.86,no,no,0,14,1,11,Erin Murray,Female
yes,0,37,5.9,0.07,324.62,yes,no,3,28,1,11,David Smith,Male
yes,0,46,5.4,0.06,268.72,yes,no,4,204,1,7,Cathy Anderson,Female
yes,0,29,2.8,0.11,249.17,no,no,0,50,1,3,Thomas Burns,Male
yes,0,43,3.9,0.02,50.08,yes,no,3,179,1,6,Madeline Smith,Female
yes,0,46,3.4,0.03,87.64,no,no,0,42,1,4,Billy Long,Male
yes,0,21,2.08,0.12,203.37,no,no,0,5,1,0,Jeremiah Lopez,Male
yes,0,57,2.5,0.05,105.12,yes,no,0,24,1,13,Vincent Harris,Male
yes,1,23,1.95,0.03,50.18,no,no,0,3,1,4,Jessica Atkinson,Female
yes,0,25,2.1,0.19,327.11,no,no,0,15,1,6,Shannon Brown,Female
no,0,30,3.0,0.0,0.0,yes,no,1,28,1,6,Kayla Lee,Not Declared
yes,1,34,3.2,0.07,175.14,yes,no,2,25,1,8,Bradley Rose,Male
no,4,37,2.6,0.0,0.0,no,no,0,40,1,14,Molly Williams,Female
yes,0,40,3.07,0.16,408.08,no,no,2,18,0,0,Shawna Campbell,Female
yes,0,24,2.8,0.01,33.57,no,no,0,60,1,11,Justin Williams,Male
yes,0,31,4.8,0.1,404.49,yes,no,0,30,1,13,Michael Erickson,Male
no,0,41,4.74,0.0,0.0,yes,no,0,13,1,0,Julie Bishop,Female
yes,0,29,2.8,0.03,80.45,yes,no,0,80,1,14,Michael Delacruz,Male
yes,0,35,4.2,0.0,8.33,yes,no,4,59,1,13,Judy Wood,Female
yes,0,42,4.0,0.07,240.28,no,no,2,180,1,9,Jason Rich,Male
no,4,25,1.65,0.0,0.0,no,no,0,36,1,5,Joshua Rivera,Male
yes,0,34,4.3,0.02,88.95,no,no,1,12,1,2,Gregory Hartman,Male
yes,0,63,6.45,0.0,0.0,yes,no,0,42,1,13,Paul Santos,Male
yes,1,21,3.0,0.0,11.0,no,no,1,18,0,7,Thomas Thomas,Male
yes,0,21,1.75,0.19,281.81,no,no,0,6,0,3,Timothy Cox,Male
no,0,22,1.8,0.0,0.0,no,no,0,3,0,6,Lori Adams,Female
yes,0,22,2.15,0.01,17.17,no,no,0,12,1,1,Felicia Melendez,Not Declared
no,0,23,7.88,0.0,0.0,no,yes,4,6,1,9,Rose Donaldson,Female
no,2,26,2.6,0.0,0.0,no,no,0,12,1,9,Ralph Lloyd,Male
yes,0,35,2.42,0.06,119.62,yes,no,0,56,1,10,Brian Murphy,Male
yes,0,41,2.8,0.04,86.55,yes,no,0,48,0,6,Diane Day,Female
yes,0,40,3.64,0.03,94.12,no,no,1,41,1,1,Jorge Rich,Male
yes,1,53,10.0,0.1,832.24,yes,no,3,120,1,3,Jerry Rodriguez,Male
no,0,20,1.95,0.0,0.0,no,no,0,14,0,1,Michael Harrison,Male
yes,2,34,6.5,0.14,762.38,yes,no,0,12,1,13,Robert Collier,Male
yes,0,32,3.8,0.01,26.0,yes,no,0,51,1,7,Michael Lee,Male
yes,0,40,2.15,0.13,227.6,no,no,1,67,0,16,Daniel Peterson,Male
yes,2,38,4.0,0.11,379.87,no,no,0,120,1,8,Dr. Cindy Lee,Female
yes,0,22,3.1,0.24,620.05,no,no,0,3,1,0,Jessica Sutton,Female
no,0,31,4.01,0.0,0.0,no,no,0,42,1,0,Ronald Diaz,Male
yes,0,29,4.58,0.01,48.62,no,no,0,50,1,7,Donald Martinez,Male
yes,0,33,1.8,0.13,195.45,yes,no,3,12,1,2,Alicia Mann,Female
no,4,38,1.71,0.0,0.0,no,no,2,42,1,2,Steven Morales,Male
yes,0,21,2.26,0.06,122.19,yes,no,0,6,1,0,Alex Mason,Male
yes,0,26,3.5,0.13,384.9,no,no,2,12,1,0,Shane Robinson,Male
yes,0,40,10.0,0.02,129.33,yes,no,4,72,1,21,Andrew Henry,Male
yes,0,23,1.57,0.0,0.0,yes,no,1,6,1,0,Yolanda Coleman,Female
yes,0,37,2.96,0.0,4.58,yes,yes,1,93,1,13,Frank King,Male
yes,1,27,2.7,0.09,210.65,no,no,0,9,1,13,John Arellano,Male
yes,0,21,2.16,0.11,198.55,yes,no,0,18,1,7,Zachary Foley,Male
yes,0,26,4.0,0.0,3.17,no,no,2,18,0,0,Andrew Combs,Male
no,5,31,4.5,0.0,0.0,yes,no,0,36,1,11,Amy Campbell,Female
no,0,33,1.8,0.0,0.0,yes,no,2,11,1,13,Eric Wilkerson,Male
yes,0,27,2.75,0.07,153.73,no,no,0,6,1,3,Dawn Anderson,Female
yes,0,39,2.42,0.02,34.16,yes,no,1,49,1,25,Nathan Watson,Not Declared
no,0,23,2.25,0.0,0.0,no,no,3,12,1,0,Jose Moore,Male
no,0,23,1.2,0.0,0.0,no,no,0,15,0,0,Stephen Ford,Male
no,2,28,2.6,0.0,0.0,yes,no,2,31,1,3,Ronald Collins,Male
no,0,26,1.5,0.0,0.0,no,no,0,8,1,0,Justin Savage,Male
yes,0,25,2.1,0.2,344.18,yes,no,1,22,1,19,Stephanie Sullivan,Female
yes,0,0,3.24,0.18,497.71,yes,no,3,25,1,16,Heather Mendoza,Female
no,0,36,2.22,0.0,0.0,yes,no,2,4,1,0,Terry Mitchell,Female
no,2,34,4.9,0.0,0.0,no,no,2,408,1,3,John Newman,Not Declared
yes,0,41,2.3,0.05,87.1,yes,no,0,42,1,12,John Leach,Male
